Date,Close,High,Low,Open,Volume
08-07-2024,24320.55078,24344.59961,24240.55078,24329.44922,266300
09-07-2024,24433.19922,24443.59961,24331.90039,24351,250500
10-07-2024,24324.44922,24461.05078,24141.80078,24459.84961,292300
11-07-2024,24315.94922,24402.65039,24193.75,24396.55078,306400
12-07-2024,24502.15039,24592.19922,24331.15039,24387.94922,325800
15-07-2024,24586.69922,24635.05078,24522.75,24587.59961,305400
16-07-2024,24613,24661.25,24587.65039,24615.90039,283200
18-07-2024,24800.84961,24837.75,24504.44922,24543.80078,350900
19-07-2024,24530.90039,24854.80078,24508.15039,24853.80078,343800
22-07-2024,24509.25,24595.19922,24362.30078,24445.75,324200
23-07-2024,24479.05078,24582.55078,24074.19922,24568.90039,436400
24-07-2024,24413.5,24504.25,24307.25,24444.94922,366600
25-07-2024,24406.09961,24426.15039,24210.80078,24230.94922,391800
26-07-2024,24834.84961,24861.15039,24410.90039,24423.34961,383800
29-07-2024,24836.09961,24999.75,24774.59961,24943.30078,355000
30-07-2024,24857.30078,24971.75,24798.65039,24839.40039,385000
31-07-2024,24951.15039,24984.59961,24856.5,24886.69922,333600
01-08-2024,25010.90039,25078.30078,24956.40039,25030.94922,431300
02-08-2024,24717.69922,24851.90039,24686.84961,24789,345000
05-08-2024,24055.59961,24350.05078,23893.69922,24302.84961,487000
06-08-2024,23992.55078,24382.59961,23960.40039,24189.84961,312300
07-08-2024,24297.5,24337.69922,24184.90039,24289.40039,317600
08-08-2024,24117,24340.5,24079.69922,24248.55078,311900
09-08-2024,24367.5,24419.75,24311.19922,24386.84961,215100
12-08-2024,24347,24472.80078,24212.09961,24320.05078,279900
13-08-2024,24139,24359.94922,24116.5,24342.34961,239700
14-08-2024,24143.75,24196.5,24099.69922,24184.40039,303300
16-08-2024,24541.15039,24563.90039,24204.5,24334.84961,271600
19-08-2024,24572.65039,24638.80078,24522.94922,24636.34961,243600
20-08-2024,24698.84961,24734.30078,24607.19922,24648.90039,238300
21-08-2024,24770.19922,24787.94922,24654.5,24680.55078,257100
22-08-2024,24811.5,24867.34961,24784.44922,24863.40039,220300
23-08-2024,24823.15039,24858.40039,24771.65039,24845.40039,206800
26-08-2024,25010.59961,25043.80078,24874.69922,24906.09961,210300
27-08-2024,25017.75,25073.09961,24973.65039,25024.80078,223300
28-08-2024,25052.34961,25129.59961,24964.65039,25030.80078,220400
29-08-2024,25151.94922,25192.90039,24998.5,25035.30078,354000
