date,open,high,low,close,volume
2015-08-14 10:45:00+05:30,8412.7,8427.6,8409.95,8419.6,0
2015-08-14 11:00:00+05:30,8419.4,8480.25,8418.95,8461.75,0
2015-08-14 11:15:00+05:30,8462.05,8488.5,8460.3,8482.25,0
2015-08-14 11:30:00+05:30,8482,8483.1,8467.2,8468.65,0
2015-08-14 11:45:00+05:30,8468.55,8478,8467.6,8478,0
2015-08-14 12:00:00+05:30,8477.8,8484.65,8471.75,8477.3,0
2015-08-14 12:15:00+05:30,8476.95,8487.85,8467.6,8485.9,0
2015-08-14 12:30:00+05:30,8485.6,8499.9,8485.6,8498,0
2015-08-14 12:45:00+05:30,8498.25,8510.35,8497.85,8507.85,0
2015-08-14 13:00:00+05:30,8507.65,8512.9,8501.1,8510.85,0
2015-08-14 13:15:00+05:30,8510.85,8523.7,8509.25,8514.8,0
2015-08-14 13:30:00+05:30,8514.7,8525.45,8510.85,8519.9,0
2015-08-14 13:45:00+05:30,8519.55,8520.45,8510.55,8518.4,0
2015-08-14 14:00:00+05:30,8518.65,8526.25,8515.3,8520.4,0
2015-08-14 14:15:00+05:30,8520.3,8522.65,8503.75,8506.4,0
2015-08-14 14:30:00+05:30,8506.3,8516.1,8500.65,8501.65,0
2015-08-14 14:45:00+05:30,8501.25,8512.75,8500.05,8509.15,0
2015-08-14 15:00:00+05:30,8508.45,8527.85,8496.8,8521.55,0
2015-08-14 15:15:00+05:30,8521.25,8529.95,8516.35,8518.9,0
2015-08-17 09:15:00+05:30,8530.5,8530.5,8428.55,8448.1,0
2015-08-17 09:30:00+05:30,8447.55,8454.7,8437.95,8452.15,0
2015-08-17 09:45:00+05:30,8452.1,8473.15,8450.3,8463.85,0
2015-08-17 10:00:00+05:30,8463.55,8472.15,8447.2,8461.85,0
2015-08-17 10:15:00+05:30,8462.2,8462.7,8440.65,8448.25,0
2015-08-17 10:30:00+05:30,8448.5,8451.75,8441.35,8443.9,0
2015-08-17 10:45:00+05:30,8444.1,8452.95,8443.25,8444.3,0
2015-08-17 11:00:00+05:30,8444.05,8445.7,8435.4,8442.1,0
2015-08-17 11:15:00+05:30,8441.85,8453,8441.35,8446.85,0
2015-08-17 11:30:00+05:30,8446.9,8457.8,8446.35,8456.05,0
2015-08-17 11:45:00+05:30,8456.05,8489.5,8452.35,8488.05,0
2015-08-17 12:00:00+05:30,8488.25,8493.4,8477.7,8479.95,0
2015-08-17 12:15:00+05:30,8479.95,8500.6,8478.85,8493.2,0
2015-08-17 12:30:00+05:30,8493.25,8515.95,8489.15,8508.55,0
2015-08-17 12:45:00+05:30,8508.35,8509.15,8493.5,8498.15,0
2015-08-17 13:00:00+05:30,8498.15,8503.95,8496.75,8497.85,0
2015-08-17 13:15:00+05:30,8497.9,8497.9,8467.95,8476.2,0
2015-08-17 13:30:00+05:30,8476.7,8484.7,8471.95,8480.4,0
2015-08-17 13:45:00+05:30,8480.55,8488.2,8480.3,8486,0
2015-08-17 14:00:00+05:30,8484.7,8486.4,8476.75,8481.3,0
2015-08-17 14:15:00+05:30,8481.1,8483.15,8462.9,8477.5,0
2015-08-17 14:30:00+05:30,8477.8,8486.1,8473.7,8477.5,0
2015-08-17 14:45:00+05:30,8477.7,8493.15,8477.2,8492.2,0
2015-08-17 15:00:00+05:30,8491.85,8492.4,8472.55,8477.15,0
2015-08-17 15:15:00+05:30,8477.6,8478.3,8469.35,8471.85,0
2015-08-18 09:15:00+05:30,8503.75,8520.2,8501.85,8516.15,0
2015-08-18 09:30:00+05:30,8516,8522.15,8506.55,8518.5,0
2015-08-18 09:45:00+05:30,8518.35,8521.1,8502.15,8511.85,0
2015-08-18 10:00:00+05:30,8512.4,8517.05,8506.95,8513.6,0
2015-08-18 10:15:00+05:30,8513.95,8522.95,8511.25,8520.25,0
2015-08-18 10:30:00+05:30,8520.35,8525.6,8517.4,8519.3,0
2015-08-18 10:45:00+05:30,8519.35,8519.35,8499.55,8503.65,0
2015-08-18 11:00:00+05:30,8503.45,8507.4,8493.2,8493.9,0
2015-08-18 11:15:00+05:30,8493.75,8507.2,8486.85,8492.5,0
